time,angle_deg,omega_rad_s,motor_cmd,energy_J,state,validation_error,performance_grade
8.94799,-43.3145,17.8601,-0.3,1.51138,2,1.79728,F
8.95799,-33.0075,18.1344,-0.3,1.57371,2,1.63235,F
8.96799,-22.5587,18.3529,0,1.62235,2,1.46914,C
8.978,-12.002,18.4974,0,1.65327,2,1.30527,B
8.988,-1.38474,18.555,0,1.6643,2,1.13777,A
8.99801,9.2426,18.5235,0,1.65483,2,0.964253,B
9.00801,19.829,18.4038,0,1.62534,2,0.782881,C
9.01801,30.3249,18.2004,-0.3,1.57708,2,0.592604,F
9.02802,40.6781,17.8967,-0.3,1.51034,2,0.388962,F
9.03802,50.8397,17.5271,-0.3,1.43071,2,0.176728,F
9.04803,60.7751,17.1036,-0.3,1.34167,2,0.042498,F
9.05803,70.4565,16.639,-0.3,1.24674,2,0.266394,F
9.06803,79.8641,16.147,-0.3,1.14926,2,0.492496,F
9.07804,88.9855,15.6406,-0.3,1.05225,2,0.718091,F
9.08804,97.8156,15.1322,-0.3,0.958256,2,0.940539,F
9.09805,106.356,14.6333,-0.3,0.869301,2,1.15739,F
9.10805,114.616,14.1537,-0.3,0.786922,2,1.36651,F
9.11805,122.607,13.7023,-0.3,0.712196,2,1.56607,F
9.12806,130.349,13.2861,-0.3,0.645812,2,1.75467,F
9.13806,137.863,12.9113,1,0.588986,2,1.93127,F
9.14807,145.2,12.6875,1,0.548279,2,2.07259,F
9.15807,152.423,12.5138,1,0.516077,2,2.20239,F
9.16807,159.559,12.3935,1,0.492526,2,2.32087,F
9.17808,166.641,12.3292,1,0.477745,2,2.42857,F
9.18808,173.7,12.3226,1,0.471855,2,2.5264,F
9.19809,-179.229,12.3751,1,0.475001,2,4.42732,F
9.20809,-172.112,12.4872,1,0.487366,2,4.29851,F
9.21809,-164.916,12.6589,1,0.509166,2,4.16189,F
9.2281,-157.606,12.8896,1,0.54064,2,4.01707,F
9.2381,-150.15,13.1777,1,0.582019,2,3.86398,F
9.24811,-142.519,13.4685,-0.3,0.628184,2,3.70824,F
9.25811,-134.73,13.7584,-0.3,0.680413,2,3.55049,F
9.26812,-126.762,14.0951,-0.3,0.741833,2,3.38603,F
9.27812,-118.591,14.4726,-0.3,0.811938,2,3.21581,F
9.28812,-110.194,14.8838,-0.3,0.889934,2,3.04104,F
9.29813,-101.555,15.32,-0.3,0.974671,2,2.86321,F
9.30813,-92.6613,15.7714,-0.3,1.06457,2,2.68398,F
9.31814,-83.5074,16.2267,-0.3,1.15759,2,2.50502,F
9.32814,-74.0943,16.6737,-0.3,1.2512,2,2.32783,F
9.33814,-64.4299,17.0992,-0.3,1.34243,2,2.15357,F
9.34815,-54.5302,17.4897,-0.3,1.42799,2,1.98281,F
9.35815,-44.4184,17.832,-0.3,1.50442,2,1.8154,F
9.36816,-34.1257,18.1135,-0.3,1.56831,2,1.65036,F
9.37816,-23.6877,18.3378,0,1.61852,2,1.48706,C
9.38816,-13.1373,18.4914,0,1.6515,2,1.3235,B
9.39817,-2.52104,18.5585,0,1.66472,2,1.15656,A
9.40817,8.11076,18.5365,0,1.65743,2,0.983835,B
9.41818,18.707,18.426,0,1.63001,2,0.803409,C
